2026-04-15 13:18:23,132 | INFO | lakeice_ncde | Computing hermite coefficients for 82 windows from S:\STU-Papers\My_Papers\EXP1-Pre-Training-Standalone\data\windows_xiaoxingkai_transfer_daily12_history_autoreg\xiaoxingkai_transfer_daily12_history_autoreg\train_windows.pt
2026-04-15 13:18:23,136 | INFO | lakeice_ncde | Coefficient progress for train_windows.pt: 1/82 windows processed.
2026-04-15 13:18:23,140 | INFO | lakeice_ncde | Coefficient progress for train_windows.pt: 8/82 windows processed.
2026-04-15 13:18:23,144 | INFO | lakeice_ncde | Coefficient progress for train_windows.pt: 16/82 windows processed.
2026-04-15 13:18:23,149 | INFO | lakeice_ncde | Coefficient progress for train_windows.pt: 24/82 windows processed.
2026-04-15 13:18:23,153 | INFO | lakeice_ncde | Coefficient progress for train_windows.pt: 32/82 windows processed.
2026-04-15 13:18:23,157 | INFO | lakeice_ncde | Coefficient progress for train_windows.pt: 40/82 windows processed.
2026-04-15 13:18:23,162 | INFO | lakeice_ncde | Coefficient progress for train_windows.pt: 48/82 windows processed.
2026-04-15 13:18:23,166 | INFO | lakeice_ncde | Coefficient progress for train_windows.pt: 56/82 windows processed.
2026-04-15 13:18:23,170 | INFO | lakeice_ncde | Coefficient progress for train_windows.pt: 64/82 windows processed.
2026-04-15 13:18:23,175 | INFO | lakeice_ncde | Coefficient progress for train_windows.pt: 72/82 windows processed.
2026-04-15 13:18:23,182 | INFO | lakeice_ncde | Coefficient progress for train_windows.pt: 80/82 windows processed.
2026-04-15 13:18:23,185 | INFO | lakeice_ncde | Coefficient progress for train_windows.pt: 82/82 windows processed.
2026-04-15 13:18:23,343 | INFO | lakeice_ncde | Computing hermite coefficients for 20 windows from S:\STU-Papers\My_Papers\EXP1-Pre-Training-Standalone\data\windows_xiaoxingkai_transfer_daily12_history_autoreg\xiaoxingkai_transfer_daily12_history_autoreg\val_windows.pt
2026-04-15 13:18:23,347 | INFO | lakeice_ncde | Coefficient progress for val_windows.pt: 1/20 windows processed.
