epoch,train_loss,val_loss,val_rmse,val_mae,val_r2,lr
1,0.13272741809487343,60.29495327562562,7.764982503240147,2.1719711196071105,-1027.4106245303767,0.0002
2,0.11422449303790927,89.20156352044341,9.444657935597425,2.1012333159859304,-1520.4513100258046,0.0002
3,0.050755852716974914,95.70325031119923,9.782803806230564,1.963274309301378,-1631.3462259305672,0.0002
4,0.06620536930859089,73.35979462794711,8.56503325317229,1.7163774663626818,-1250.2488709274062,0.0002
5,0.04705159179866314,31.502296567903056,5.6126906709619275,1.163210119299937,-536.3135681761115,0.0002
6,0.03785937000066042,14.43461346008357,3.7992911786389274,0.8413360237711452,-245.2015315855653,0.0002
7,0.024860767764039338,16.3611218525758,4.04488836095334,0.9378270141127751,-278.06069460753696,0.0002
8,0.024456528015434742,15.104694387054654,3.886475831271134,0.8653527059164459,-256.6306530485519,0.0002
9,0.025539970491081476,18.382708798038873,4.287506128046801,0.9751644533315162,-312.5415488114092,0.0002
10,0.03347326070070267,21.93336741117179,4.6833073154739475,1.020964532662296,-373.10275407736185,0.0002
11,0.021225420059636235,22.770484161549124,4.771842847532715,0.9887801674363964,-387.38089367761944,0.0002
12,0.021449160878546536,15.224597841793111,3.901871069345207,0.8673260412254975,-258.67576594891756,0.0002
13,0.03277038992382586,4.697734429404985,2.1674257609904393,0.6277877157716601,-79.12610900181687,0.0002
14,0.02079003758262843,4.925882989891078,2.21943303343243,0.6303869181423084,-83.01748615410764,0.0002
15,0.01847606070805341,16.73157169364299,4.090424390407796,0.8824949701516649,-284.37920937058095,0.0002
16,0.019647405948489904,29.483654552638974,5.429885316711484,1.0302164058985155,-501.8829436737418,0.0002
17,0.02173758205026388,18.69748702382559,4.3240590911579355,0.8178911054917676,-317.9105101287861,0.0002
18,0.02232294576242566,17.18581045274898,4.145577215871028,0.8095646222386627,-292.1268555757724,0.0002
19,0.017566596739925444,24.884638786261814,4.988450539622681,0.9415245867039479,-423.4406127724428,0.0002
20,0.020991627126932144,28.403077362657047,5.3294537583749655,1.0469188390171975,-483.4522624569801,0.0002
21,0.01929779874626547,16.26918067833776,4.0335072428765715,0.8488791746958247,-276.49251559285284,0.0002
22,0.021097783464938402,3.4449790609847732,1.856065478636132,0.5018709891567213,-57.7586999430287,0.0002
23,0.01715967571362853,3.1475024408266608,1.7741201878189259,0.4527692781396109,-52.684840521967296,0.0002
24,0.018839292926713824,7.993325968574023,2.8272470653577524,0.5944378457793832,-135.33680606464978,0.0002
25,0.01908645627554506,13.931757361712513,3.732526940520659,0.7231690910525644,-236.6246519948195,0.0002
26,0.016323429183103144,23.687677630009873,4.866998831930194,0.8890164226352506,-403.0248482123054,0.0002
27,0.01787810167297721,22.407349544045545,4.733640200104518,0.8506319512267142,-381.18714978220083,0.0002
28,0.01897160813678056,18.20808792092775,4.267093615205524,0.8036115287595132,-309.563157494561,0.0002
29,0.017627166351303458,15.67033350821264,3.958577207559888,0.7510064243865727,-266.2783805986461,0.0002
30,0.015585790504701436,16.43064503668396,4.053473206607386,0.7490632618616105,-279.2465049830948,0.0002
31,0.016430696239694953,10.492636834091504,3.2392339887836914,0.6429162006342184,-177.96587713056013,0.0002
32,0.01495924626942724,7.637375251438441,2.7635801510791107,0.6070140601537289,-129.26559314508654,0.0002
33,0.015005261055193841,7.97456181564552,2.823926666123878,0.6148280990134831,-135.01675847884647,0.0001
34,0.01498905336484313,10.213891575281929,3.195917955029811,0.6646985162057023,-173.21150599129064,0.0001
35,0.01573011325672269,13.702490646373526,3.701687540348797,0.7504400972321846,-232.71420322429012,0.0001
36,0.01604929903987795,11.60208470005116,3.406183303941695,0.7056510904220058,-196.88898612609694,0.0001
37,0.015285129542462528,8.387122852191435,2.8960529781396325,0.6193817995505464,-142.0535356915523,0.0001
38,0.015804839553311467,9.91457912444148,3.1487424671512083,0.6477789966301924,-168.1063340361615,0.0001
39,0.01593766186852008,11.173539094991314,3.3426844145074948,0.6383721369385348,-189.5795708368159,0.0001
40,0.014129256829619408,11.228922803539367,3.350958490273994,0.62240200287088,-190.5242136502259,0.0001
41,0.01395917555782944,8.896446515843223,2.982691153278063,0.574601137985003,-150.7407282104655,0.0001
42,0.013674114481545985,7.627986916485765,2.761881046766092,0.5491469067291572,-129.10546260534062,5e-05
43,0.016578159644268453,6.427422362641457,2.535236155201613,0.523184320312977,-108.62823730649993,5e-05
