split,loss,rmse,mae,r2,bias,negative_count
val,0.01149091754413022,0.1064033395171301,0.09605049882084131,0.8231991284668511,0.06343928221613168,0.0
test,0.021502064096890275,0.14663582132920414,0.13895704017745125,-11.602973669881042,-0.13895704017745125,0.0
