split,loss,rmse,mae,r2,bias,negative_count
val,0.05792282123266659,0.24067160454167955,0.209137056581676,0.09546871810926338,0.18649886678904296,0.0
test,0.049106297265753884,0.2215994071872799,0.18105502923329672,-27.782602855097693,-0.1335276034143236,0.0
