split,loss,rmse,mae,r2,bias,negative_count
val,0.10194871470936957,0.30926591790407537,0.2664956881531647,-0.5093974783961275,0.17564423612895466,0.0
test,0.18913985194130467,0.43490211765557624,0.3522016989688079,-109.8602673306237,-0.23134728148579597,0.0
