observation_id,lake_name,lake_id,sample_datetime,latitude,longitude,total_ice_m,coordinate_source,source_workbook
xxkh_0027,【Li】Lake Xiaoxingkai,1285.0,2025-02-13 12:00:00,45.33333333333334,132.5833333333333,0.6879,table_latlon,LakeIce_ERA5_less60_XiaoxingkaiDaily12.xlsx
xxkh_0028,【Li】Lake Xiaoxingkai,1285.0,2025-02-14 12:00:00,45.33333333333334,132.5833333333333,0.6997,table_latlon,LakeIce_ERA5_less60_XiaoxingkaiDaily12.xlsx
xxkh_0029,【Li】Lake Xiaoxingkai,1285.0,2025-02-15 12:00:00,45.33333333333334,132.5833333333333,0.7037,table_latlon,LakeIce_ERA5_less60_XiaoxingkaiDaily12.xlsx
xxkh_0030,【Li】Lake Xiaoxingkai,1285.0,2025-02-16 12:00:00,45.33333333333334,132.5833333333333,0.7077,table_latlon,LakeIce_ERA5_less60_XiaoxingkaiDaily12.xlsx
xxkh_0031,【Li】Lake Xiaoxingkai,1285.0,2025-02-17 12:00:00,45.33333333333334,132.5833333333333,0.7122,table_latlon,LakeIce_ERA5_less60_XiaoxingkaiDaily12.xlsx
xxkh_0032,【Li】Lake Xiaoxingkai,1285.0,2026-01-19 12:00:00,45.33333333333334,132.5833333333333,0.669,table_latlon,LakeIce_ERA5_less60_XiaoxingkaiDaily12.xlsx
xxkh_0033,【Li】Lake Xiaoxingkai,1285.0,2026-01-20 12:00:00,45.33333333333334,132.5833333333333,0.6735,table_latlon,LakeIce_ERA5_less60_XiaoxingkaiDaily12.xlsx
xxkh_0034,【Li】Lake Xiaoxingkai,1285.0,2026-01-21 12:00:00,45.33333333333334,132.5833333333333,0.6798,table_latlon,LakeIce_ERA5_less60_XiaoxingkaiDaily12.xlsx
xxkh_0035,【Li】Lake Xiaoxingkai,1285.0,2026-01-22 12:00:00,45.33333333333334,132.5833333333333,0.6872,table_latlon,LakeIce_ERA5_less60_XiaoxingkaiDaily12.xlsx
xxkh_0036,【Li】Lake Xiaoxingkai,1285.0,2026-01-23 12:00:00,45.33333333333334,132.5833333333333,0.6934,table_latlon,LakeIce_ERA5_less60_XiaoxingkaiDaily12.xlsx
xxkh_0037,【Li】Lake Xiaoxingkai,1285.0,2026-01-24 12:00:00,45.33333333333334,132.5833333333333,0.6995,table_latlon,LakeIce_ERA5_less60_XiaoxingkaiDaily12.xlsx
xxkh_0038,【Li】Lake Xiaoxingkai,1285.0,2026-01-25 12:00:00,45.33333333333334,132.5833333333333,0.7048,table_latlon,LakeIce_ERA5_less60_XiaoxingkaiDaily12.xlsx
xxkh_0039,【Li】Lake Xiaoxingkai,1285.0,2026-01-26 12:00:00,45.33333333333334,132.5833333333333,0.7103,table_latlon,LakeIce_ERA5_less60_XiaoxingkaiDaily12.xlsx
xxkh_0040,【Li】Lake Xiaoxingkai,1285.0,2026-01-27 12:00:00,45.33333333333334,132.5833333333333,0.7147,table_latlon,LakeIce_ERA5_less60_XiaoxingkaiDaily12.xlsx
xxkh_0041,【Li】Lake Xiaoxingkai,1285.0,2026-01-28 12:00:00,45.33333333333334,132.5833333333333,0.7203,table_latlon,LakeIce_ERA5_less60_XiaoxingkaiDaily12.xlsx
