lake_name,Unnamed: 1,lake_id,sample_datetime,era5_datetime,doy,latitude,longitude,total_ice_m,Ten_Meter_Elevation_Wind_Speed_meterPerSecond,Air_Temperature_celsius,Relative_Humidity_percent,Shortwave_Radiation_Downwelling_wattPerMeterSquared,Longwave_Radiation_Downwelling_wattPerMeterSquared,Sea_Level_Barometric_Pressure_pascal,Surface_Level_Barometric_Pressure_pascal,Precipitation_millimeterPerDay,Snowfall_millimeterPerDay,doy_sin,doy_cos,ice_prev_available,ice_prev_m,ice_prev_gap_days
【Huo】Lake Ulansu,Lake Ulansu,,2023-02-15 00:00:00,2023-02-15 20:00:00,46,40.9000015258789,108.900001525878,0.478792011737823,1.50714658265158,-6.489630126953102,61.27285005185043,0.0,200.8704513888889,102687.6640625,89059.0703125,0.0419765710830688,0.0504814088344574,0.7112757519738152,0.7029130847082615,1.0,0.480666995048522,1.0
【Huo】Lake Ulansu,Lake Ulansu,,2023-02-16 00:00:00,2023-02-16 20:00:00,47,40.9000015258789,108.900001525878,0.465083003044128,2.461867661879093,-6.858709716796852,56.18486752419929,3.472222222222222e-05,207.3429340277778,101989.90625,88569.9765625,0.0,2.793967723846436e-06,0.7232617254437389,0.6905740195722293,1.0,0.478792011737823,1.0
【Huo】Lake Ulansu,Lake Ulansu,,2023-02-17 00:00:00,2023-02-17 20:00:00,48,40.9000015258789,108.900001525878,0.447667002677917,3.996529486852649,-2.961157226562477,88.84689948365244,0.0,264.7657118055556,102151.640625,88588.5,4.257827997207642,4.24977857619524,0.7350336741329413,0.6780306024735381,1.0,0.465083003044128,1.0
【Huo】Lake Ulansu,Lake Ulansu,,2023-02-18 00:00:00,2023-02-18 20:00:00,49,40.9000015258789,108.900001525878,0.429917007684707,2.241608255188317,-10.99698486328123,67.28808067081472,0.0,178.9992361111111,103438.578125,89523.25,4.470348358154297e-05,0.0,0.7465881145324131,0.6652865452111115,1.0,0.447667002677917,1.0
【Huo】Lake Ulansu,Lake Ulansu,,2023-02-19 00:00:00,2023-02-19 20:00:00,50,40.9000015258789,108.900001525878,0.431333005428314,2.115772295330554,-10.72202148437498,54.9693733401426,0.0,187.6902604166666,103217.203125,89575.046875,4.470348358154297e-05,0.0,0.757921627497347,0.6523456189565258,1.0,0.429917007684707,1.0
【Huo】Lake Ulansu,Lake Ulansu,,2023-02-20 00:00:00,2023-02-20 20:00:00,51,40.9000015258789,108.900001525878,0.430833011865615,3.148214870988691,-3.843969726562477,47.21430765922369,3.472222222222222e-05,245.7813368055556,103025.8671875,89458.140625,4.470348358154297e-05,0.0,0.769030859258918,0.6392116531380589,1.0,0.431333005428314,1.0
【Huo】Lake Ulansu,Lake Ulansu,,2023-02-21 00:00:00,2023-02-21 20:00:00,52,40.9000015258789,108.900001525878,0.426041990518569,1.849265889596576,-6.167852783203102,88.57332395969756,0.0,230.8448611111111,102689.9453125,89223.484375,0.0,2.793967723846436e-06,0.7799125224167177,0.6258885343075018,1.0,0.430833011865615,1.0
【Huo】Lake Ulansu,Lake Ulansu,,2023-02-22 00:00:00,2023-02-22 20:00:00,53,40.9000015258789,108.900001525878,0.422333002090454,2.263753091594413,-3.855078124999977,50.82172282505088,-3.472222222222222e-05,242.3163541666666,102250.5390625,88921.328125,0.0,0.0,0.7905633969115482,0.612380204990065,1.0,0.426041990518569,1.0
【Huo】Lake Ulansu,Lake Ulansu,,2023-02-23 00:00:00,2023-02-23 20:00:00,54,40.9000015258789,108.900001525878,0.420042008161544,3.1099581510577,-3.934179687499977,35.79520587823634,0.0,210.9000347222222,103300.1171875,89575.90625,0.0,0.0,0.8009803309782906,0.5986906625177213,1.0,0.422333002090454,1.0
【Huo】Lake Ulansu,Lake Ulansu,,2023-02-24 00:00:00,2023-02-24 20:00:00,55,40.9000015258789,108.900001525878,0.416792005300521,2.796621977917763,-7.562292480468727,26.13381921597858,-3.472222222222222e-05,193.2948611111111,103673.1953125,90040.828125,0.0,0.0,0.8111602420785621,0.5848239578463323,1.0,0.420042008161544,1.0
