epoch,train_loss,val_loss,val_rmse,val_mae,val_r2,lr
1,0.03156401626765728,0.395862529463917,0.6291760719098566,0.5196881709620357,-5.181847389480512,0.0002
2,0.027417123690247534,0.37808022489657417,0.6148822853982494,0.5043540732935071,-4.9041563101620405,0.0002
3,0.02241249047219753,0.3481368161532027,0.5900311993049204,0.4831212168559432,-4.436555642265961,0.0002
4,0.02437027804553509,0.3155090823627079,0.5617019515389883,0.4628151372075081,-3.927036160261488,0.0002
5,0.01767757683992386,0.30135153051459296,0.5489549439749978,0.4492195529863238,-3.7059497516735753,0.0002
6,0.015916502103209496,0.2953249334136647,0.5434380676891017,0.4447192885912955,-3.611837526385983,0.0002
7,0.014668207615613937,0.28692441016989173,0.5356532555393384,0.43519432307220995,-3.480653721858907,0.0002
8,0.013950741663575173,0.26354399846212695,0.5133653654680329,0.41724148001521827,-3.115541779396569,0.0002
9,0.01356880906969309,0.21789745921460665,0.4667948791649354,0.38765454608947036,-2.402718719663597,0.0002
10,0.012690817564725876,0.18968367075931777,0.43552688867545,0.3685587260872126,-1.9621280561676704,0.0002
11,0.012166034802794457,0.17365438655278465,0.41671859396094224,0.3571515388786793,-1.711812400221178,0.0002
12,0.012199158594012261,0.16904018385763436,0.4111449669613315,0.35076232980936767,-1.639756333373485,0.0002
13,0.011328433640301228,0.16462491282328684,0.40573995714408856,0.34316344391554593,-1.5708068125524748,0.0002
14,0.010799899883568286,0.15598105914488664,0.39494437474774424,0.33388272002339364,-1.4358231242270545,0.0002
15,0.010467358306050301,0.13286477030211583,0.36450620063603284,0.31610084120184184,-1.0748357632088767,0.0002
16,0.01090891882777214,0.12025449809461368,0.3467773033152742,0.30468473229557275,-0.8779119006949041,0.0002
17,0.010894815251231194,0.11484429465690038,0.3388868463910932,0.2970902452245355,-0.7934253693647519,0.0002
18,0.010973968543112278,0.11776292336175712,0.3431660288573989,0.298050139285624,-0.839003103798003,0.0002
19,0.010382243432104588,0.12202444774965242,0.3493199790301901,0.2989176545292139,-0.9055516944115014,0.0002
20,0.009989587962627411,0.11921107233098863,0.3452695647331062,0.29452992174774406,-0.8616176107510758,0.0002
21,0.009579206444323063,0.10592703386686911,0.32546433578330686,0.2837465902790427,-0.6541721154363667,0.0002
22,0.008908837102353573,0.09804702345018633,0.3131246132934719,0.2759461523965001,-0.5311167156504422,0.0002
23,0.00851949406787753,0.09566064673703656,0.30929055390851584,0.27272132504731417,-0.4938507064768036,0.0002
24,0.008221112377941608,0.0959979636381533,0.3098353815143669,0.2725685594603419,-0.4991182967370389,0.0002
25,0.008277695067226887,0.09701142848584272,0.31146657683585044,0.27224854938685894,-0.5149447126180857,0.0002
26,0.008396763168275357,0.09118032750681823,0.30196080458698316,0.2634111462160945,-0.4238853834772469,0.0002
27,0.008363084681332112,0.08165497234751021,0.2857533417958751,0.25104298871010544,-0.2751360385842483,0.0002
28,0.00796557692810893,0.0785472012204057,0.280262736053878,0.2437791520729661,-0.22660462831106387,0.0002
29,0.007548373285681009,0.07589607501102548,0.27549242278332353,0.24028024803847076,-0.18520425212786074,0.0002
30,0.007003365084528923,0.07754442130491561,0.27846798973116393,0.24169748444110156,-0.21094506990024198,0.0002
31,0.00773036852478981,0.07947403188105262,0.28191139012294736,0.24291171617805957,-0.24107815200569016,0.0002
32,0.007546159625053406,0.07301202492586127,0.2702073739294716,0.23704080525785684,-0.14016650249733287,0.0002
33,0.006509575992822647,0.07021008489146845,0.2649718567913741,0.23308003637939692,-0.09641099547688103,0.0002
34,0.006940962560474872,0.07320706606346962,0.2705680433152992,0.23571913428604602,-0.14321229354251774,0.0002
35,0.006903886422514915,0.07122917905049757,0.26688795223932005,0.23543592020869256,-0.11232531951042968,0.0002
36,0.00705808075144887,0.06394128217082941,0.25286613488332005,0.2236228074878454,0.0014835483341495426,0.0002
37,0.006657307501882315,0.060175828162213216,0.2453076194540504,0.21527677904814482,0.060285431060700057,0.0002
38,0.006256472412496805,0.05756810745017288,0.23993354798813124,0.21145014204084872,0.10100798062367966,0.0002
39,0.006715282145887613,0.057333709905566056,0.23944458629412788,0.21070869080722332,0.10466836709973892,0.0002
40,0.006383736431598663,0.05850502077287556,0.24187811139678506,0.21028401432558894,0.08637700459782927,0.0002
41,0.00652192747220397,0.058534634912620766,0.2419393207244758,0.20828519407659768,0.08591454584295921,0.0002
42,0.005444544274359942,0.05725576707842832,0.23928177339368814,0.20530083514750003,0.1058855337336273,0.0002
