split,loss,rmse,mae,r2,bias,negative_count
val,0.030690325264603774,0.17237297076384303,0.14547617360949516,0.5360061575201804,0.1301413059234619,0.0
test,0.04249241823889808,0.20613689198903257,0.17402047746711308,-23.906019525439717,-0.07705764141347674,0.0
