2026-04-15 13:21:10,302 | INFO | lakeice_ncde | Starting experiment 'xiaoxingkai_transfer_daily12_history_autoreg'
2026-04-15 13:21:10,307 | INFO | lakeice_ncde | Run directory: S:\STU-Papers\My_Papers\EXP1-Pre-Training-Standalone\outputs\runs\xiaoxingkai_transfer_daily12_history_autoreg\xiaoxingkai_transfer_daily12_history_autoreg_20260415_132110
2026-04-15 13:21:10,329 | INFO | lakeice_ncde | Running target transfer | target=【Li】Lake Xiaoxingkai | train=['【Huo】Lake Hnagzhang', '【Huo】Lake Ulansu', '【IISD Experimental】Lake 239', '【IISD Experimental】Lake 302', '【North Temperate Lakes LTER】Big Muskellunge Lake', '【North Temperate Lakes LTER】Bog 12-15 (Trout Bog)', '【North Temperate Lakes LTER】Bog 27-2 (Crystal Bog)', '【North Temperate Lakes LTER】Crystal Lake (NTL)']
2026-04-15 13:21:10,335 | INFO | lakeice_ncde | Target lake test starts at 2026-01-01; target rows before the cutoff are split into train and val.
2026-04-15 13:21:10,337 | INFO | lakeice_ncde | Config summary | interpolation=hermite | method=midpoint | window_days=7 | batch_size=64 | target_transform=none
2026-04-15 13:21:10,374 | INFO | lakeice_ncde | Fold 'xiaoxingkai_transfer_daily12_history_autoreg' -> train lakes (9): ['【Huo】Lake Hnagzhang', '【Huo】Lake Ulansu', '【IISD Experimental】Lake 239', '【IISD Experimental】Lake 302', '【Li】Lake Xiaoxingkai', '【North Temperate Lakes LTER】Big Muskellunge Lake', '【North Temperate Lakes LTER】Bog 12-15 (Trout Bog)', '【North Temperate Lakes LTER】Bog 27-2 (Crystal Bog)', '【North Temperate Lakes LTER】Crystal Lake (NTL)']
2026-04-15 13:21:10,378 | INFO | lakeice_ncde | Fold 'xiaoxingkai_transfer_daily12_history_autoreg' -> val lakes (9): ['【Huo】Lake Hnagzhang', '【Huo】Lake Ulansu', '【IISD Experimental】Lake 239', '【IISD Experimental】Lake 302', '【Li】Lake Xiaoxingkai', '【North Temperate Lakes LTER】Big Muskellunge Lake', '【North Temperate Lakes LTER】Bog 12-15 (Trout Bog)', '【North Temperate Lakes LTER】Bog 27-2 (Crystal Bog)', '【North Temperate Lakes LTER】Crystal Lake (NTL)']
2026-04-15 13:21:10,382 | INFO | lakeice_ncde | Fold 'xiaoxingkai_transfer_daily12_history_autoreg' -> test lakes (1): ['【Li】Lake Xiaoxingkai']
2026-04-15 13:21:10,405 | INFO | lakeice_ncde | Building train windows for split 'xiaoxingkai_transfer_daily12_history_autoreg': 929 rows across 9 lakes.
2026-04-15 13:21:10,762 | INFO | lakeice_ncde | Window progress for split 'train': 1/9 lakes processed, 89 windows built.
2026-04-15 13:21:11,316 | INFO | lakeice_ncde | Window progress for split 'train': 2/9 lakes processed, 233 windows built.
2026-04-15 13:21:11,563 | INFO | lakeice_ncde | Window progress for split 'train': 3/9 lakes processed, 250 windows built.
2026-04-15 13:21:11,725 | INFO | lakeice_ncde | Window progress for split 'train': 4/9 lakes processed, 255 windows built.
2026-04-15 13:21:11,848 | INFO | lakeice_ncde | Window progress for split 'train': 5/9 lakes processed, 278 windows built.
2026-04-15 13:21:12,018 | INFO | lakeice_ncde | Window progress for split 'train': 6/9 lakes processed, 278 windows built.
2026-04-15 13:21:12,169 | INFO | lakeice_ncde | Window progress for split 'train': 7/9 lakes processed, 278 windows built.
2026-04-15 13:21:12,291 | INFO | lakeice_ncde | Window progress for split 'train': 8/9 lakes processed, 278 windows built.
2026-04-15 13:21:12,420 | INFO | lakeice_ncde | Window progress for split 'train': 9/9 lakes processed, 278 windows built.
2026-04-15 13:21:12,450 | INFO | lakeice_ncde | Saved train windows for split 'xiaoxingkai_transfer_daily12_history_autoreg': 278 samples -> S:\STU-Papers\My_Papers\EXP1-Pre-Training-Standalone\data\windows_xiaoxingkai_transfer_daily12_history_autoreg\xiaoxingkai_transfer_daily12_history_autoreg\train_windows.pt
2026-04-15 13:21:12,455 | INFO | lakeice_ncde | Building val windows for split 'xiaoxingkai_transfer_daily12_history_autoreg': 113 rows across 9 lakes.
2026-04-15 13:21:12,494 | INFO | lakeice_ncde | Window progress for split 'val': 1/9 lakes processed, 11 windows built.
2026-04-15 13:21:12,552 | INFO | lakeice_ncde | Window progress for split 'val': 2/9 lakes processed, 28 windows built.
2026-04-15 13:21:12,589 | INFO | lakeice_ncde | Window progress for split 'val': 3/9 lakes processed, 30 windows built.
2026-04-15 13:21:12,627 | INFO | lakeice_ncde | Window progress for split 'val': 4/9 lakes processed, 33 windows built.
2026-04-15 13:21:12,665 | INFO | lakeice_ncde | Window progress for split 'val': 5/9 lakes processed, 40 windows built.
2026-04-15 13:21:12,691 | INFO | lakeice_ncde | Window progress for split 'val': 6/9 lakes processed, 40 windows built.
2026-04-15 13:21:12,716 | INFO | lakeice_ncde | Window progress for split 'val': 7/9 lakes processed, 40 windows built.
2026-04-15 13:21:12,740 | INFO | lakeice_ncde | Window progress for split 'val': 8/9 lakes processed, 40 windows built.
2026-04-15 13:21:12,766 | INFO | lakeice_ncde | Window progress for split 'val': 9/9 lakes processed, 40 windows built.
2026-04-15 13:21:12,780 | INFO | lakeice_ncde | Saved val windows for split 'xiaoxingkai_transfer_daily12_history_autoreg': 40 samples -> S:\STU-Papers\My_Papers\EXP1-Pre-Training-Standalone\data\windows_xiaoxingkai_transfer_daily12_history_autoreg\xiaoxingkai_transfer_daily12_history_autoreg\val_windows.pt
2026-04-15 13:21:12,783 | INFO | lakeice_ncde | Building test windows for split 'xiaoxingkai_transfer_daily12_history_autoreg': 37 rows across 1 lakes.
2026-04-15 13:21:12,902 | INFO | lakeice_ncde | Window progress for split 'test': 1/1 lakes processed, 36 windows built.
2026-04-15 13:21:12,914 | INFO | lakeice_ncde | Saved test windows for split 'xiaoxingkai_transfer_daily12_history_autoreg': 36 samples -> S:\STU-Papers\My_Papers\EXP1-Pre-Training-Standalone\data\windows_xiaoxingkai_transfer_daily12_history_autoreg\xiaoxingkai_transfer_daily12_history_autoreg\test_windows.pt
2026-04-15 13:21:12,983 | INFO | lakeice_ncde | Balanced windows with train cap=20 and val cap=5
2026-04-15 13:21:13,852 | INFO | lakeice_ncde | Computing hermite coefficients for 82 windows from S:\STU-Papers\My_Papers\EXP1-Pre-Training-Standalone\data\windows_xiaoxingkai_transfer_daily12_history_autoreg\xiaoxingkai_transfer_daily12_history_autoreg\train_windows.pt
2026-04-15 13:21:13,855 | INFO | lakeice_ncde | Coefficient progress for train_windows.pt: 1/82 windows processed.
2026-04-15 13:21:13,860 | INFO | lakeice_ncde | Coefficient progress for train_windows.pt: 8/82 windows processed.
2026-04-15 13:21:13,864 | INFO | lakeice_ncde | Coefficient progress for train_windows.pt: 16/82 windows processed.
2026-04-15 13:21:13,870 | INFO | lakeice_ncde | Coefficient progress for train_windows.pt: 24/82 windows processed.
2026-04-15 13:21:13,876 | INFO | lakeice_ncde | Coefficient progress for train_windows.pt: 32/82 windows processed.
2026-04-15 13:21:13,883 | INFO | lakeice_ncde | Coefficient progress for train_windows.pt: 40/82 windows processed.
2026-04-15 13:21:13,887 | INFO | lakeice_ncde | Coefficient progress for train_windows.pt: 48/82 windows processed.
2026-04-15 13:21:13,891 | INFO | lakeice_ncde | Coefficient progress for train_windows.pt: 56/82 windows processed.
2026-04-15 13:21:13,896 | INFO | lakeice_ncde | Coefficient progress for train_windows.pt: 64/82 windows processed.
2026-04-15 13:21:13,901 | INFO | lakeice_ncde | Coefficient progress for train_windows.pt: 72/82 windows processed.
2026-04-15 13:21:13,905 | INFO | lakeice_ncde | Coefficient progress for train_windows.pt: 80/82 windows processed.
2026-04-15 13:21:13,908 | INFO | lakeice_ncde | Coefficient progress for train_windows.pt: 82/82 windows processed.
2026-04-15 13:21:13,945 | INFO | lakeice_ncde | Computing hermite coefficients for 20 windows from S:\STU-Papers\My_Papers\EXP1-Pre-Training-Standalone\data\windows_xiaoxingkai_transfer_daily12_history_autoreg\xiaoxingkai_transfer_daily12_history_autoreg\val_windows.pt
2026-04-15 13:21:13,949 | INFO | lakeice_ncde | Coefficient progress for val_windows.pt: 1/20 windows processed.
2026-04-15 13:21:13,951 | INFO | lakeice_ncde | Coefficient progress for val_windows.pt: 2/20 windows processed.
2026-04-15 13:21:13,954 | INFO | lakeice_ncde | Coefficient progress for val_windows.pt: 4/20 windows processed.
2026-04-15 13:21:13,956 | INFO | lakeice_ncde | Coefficient progress for val_windows.pt: 6/20 windows processed.
2026-04-15 13:21:13,959 | INFO | lakeice_ncde | Coefficient progress for val_windows.pt: 8/20 windows processed.
2026-04-15 13:21:13,962 | INFO | lakeice_ncde | Coefficient progress for val_windows.pt: 10/20 windows processed.
2026-04-15 13:21:13,965 | INFO | lakeice_ncde | Coefficient progress for val_windows.pt: 12/20 windows processed.
2026-04-15 13:21:13,969 | INFO | lakeice_ncde | Coefficient progress for val_windows.pt: 14/20 windows processed.
2026-04-15 13:21:13,971 | INFO | lakeice_ncde | Coefficient progress for val_windows.pt: 16/20 windows processed.
2026-04-15 13:21:13,974 | INFO | lakeice_ncde | Coefficient progress for val_windows.pt: 18/20 windows processed.
2026-04-15 13:21:13,976 | INFO | lakeice_ncde | Coefficient progress for val_windows.pt: 20/20 windows processed.
2026-04-15 13:21:14,000 | INFO | lakeice_ncde | Computing hermite coefficients for 36 windows from S:\STU-Papers\My_Papers\EXP1-Pre-Training-Standalone\data\windows_xiaoxingkai_transfer_daily12_history_autoreg\xiaoxingkai_transfer_daily12_history_autoreg\test_windows.pt
2026-04-15 13:21:14,003 | INFO | lakeice_ncde | Coefficient progress for test_windows.pt: 1/36 windows processed.
2026-04-15 13:21:14,005 | INFO | lakeice_ncde | Coefficient progress for test_windows.pt: 3/36 windows processed.
2026-04-15 13:21:14,009 | INFO | lakeice_ncde | Coefficient progress for test_windows.pt: 6/36 windows processed.
2026-04-15 13:21:14,012 | INFO | lakeice_ncde | Coefficient progress for test_windows.pt: 9/36 windows processed.
2026-04-15 13:21:14,014 | INFO | lakeice_ncde | Coefficient progress for test_windows.pt: 12/36 windows processed.
2026-04-15 13:21:14,016 | INFO | lakeice_ncde | Coefficient progress for test_windows.pt: 15/36 windows processed.
2026-04-15 13:21:14,020 | INFO | lakeice_ncde | Coefficient progress for test_windows.pt: 18/36 windows processed.
2026-04-15 13:21:14,023 | INFO | lakeice_ncde | Coefficient progress for test_windows.pt: 21/36 windows processed.
2026-04-15 13:21:14,026 | INFO | lakeice_ncde | Coefficient progress for test_windows.pt: 24/36 windows processed.
2026-04-15 13:21:14,029 | INFO | lakeice_ncde | Coefficient progress for test_windows.pt: 27/36 windows processed.
2026-04-15 13:21:14,032 | INFO | lakeice_ncde | Coefficient progress for test_windows.pt: 30/36 windows processed.
2026-04-15 13:21:14,034 | INFO | lakeice_ncde | Coefficient progress for test_windows.pt: 33/36 windows processed.
2026-04-15 13:21:14,037 | INFO | lakeice_ncde | Coefficient progress for test_windows.pt: 36/36 windows processed.
2026-04-15 13:21:14,052 | INFO | lakeice_ncde | Saved 3 coefficient bundle(s) under S:\STU-Papers\My_Papers\EXP1-Pre-Training-Standalone\data\coeffs_xiaoxingkai_transfer_daily12_history_autoreg
2026-04-15 13:21:14,105 | INFO | lakeice_ncde | Data summary | train=82 | val=20 | test=36 | input_channels=15 | batch_parallel=True
2026-04-15 13:21:17,514 | INFO | lakeice_ncde | Training on cuda | train_batches=2 | val_batches=1 | test_batches=1
2026-04-15 13:21:17,517 | INFO | lakeice_ncde | Epoch 1/1 started.
2026-04-15 13:21:18,025 | INFO | lakeice_ncde | Epoch 1/1 | train batch 1/2 | batch_loss=0.04172910 | running_loss=0.04172910
2026-04-15 13:21:18,104 | INFO | lakeice_ncde | Epoch 1/1 | train batch 2/2 | batch_loss=0.02949203 | running_loss=0.03561057
2026-04-15 13:21:18,136 | INFO | lakeice_ncde | Epoch 1 complete | train_loss=0.03561057 | val_loss=0.39105338 | val_rmse=0.62534261 | val_mae=0.48481715 | val_r2=-4.55437500
2026-04-15 13:21:18,345 | INFO | lakeice_ncde | Final evaluation | val_loss=0.39105338 | test_loss=0.19549943 | best_val_rmse=0.62534261 | best_epoch=1
2026-04-15 13:21:27,702 | INFO | lakeice_ncde | PDF report saved to S:\STU-Papers\My_Papers\EXP1-Pre-Training-Standalone\outputs\runs\xiaoxingkai_transfer_daily12_history_autoreg\xiaoxingkai_transfer_daily12_history_autoreg_20260415_132110\figures\report.pdf
2026-04-15 13:21:27,716 | INFO | lakeice_ncde | Finished experiment 'xiaoxingkai_transfer_daily12_history_autoreg'. Run directory: S:\STU-Papers\My_Papers\EXP1-Pre-Training-Standalone\outputs\runs\xiaoxingkai_transfer_daily12_history_autoreg\xiaoxingkai_transfer_daily12_history_autoreg_20260415_132110
